,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS10c,SBS10d,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22a,SBS22b,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40a,SBS40b,SBS40c,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,SBS91,SBS92,SBS93,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99
SBS1,1.0,0.02031488535281778,0.053726232585701306,0.023613195682176014,0.19426684839568753,0.7702115676893556,0.048045083789897025,0.06974537373306422,0.023699201429470684,0.014577486232467907,0.040545177582300584,0.07161949196352357,0.0178838804437792,0.22594057739563833,0.09340937675046668,0.008944373099913694,0.038595516192149404,0.016046883608345053,0.006568278117198734,0.08429918330328756,0.5824207754086046,0.02531730026210932,0.006945599339965303,0.002117598464124404,0.12304857005955927,0.0405623237686481,0.10678745148009694,0.034732576950705196,0.011522568392270172,0.03461308041726141,0.06780238901114044,0.08618722574435767,0.22574094763748032,0.05179165209835368,0.04172983506476802,0.014829137397035619,0.16171863024815458,0.11245951964910283,0.06193862105492165,0.1980800433757165,0.03423077242597439,0.03785092915485799,0.02162243048529844,0.04312685452830656,0.06671306147521006,0.02214631992346583,0.09635012984516089,0.16256160150516707,0.07866528182695509,0.134021552740208,0.0987999564868628,0.03208283163705772,0.00868652460517072,0.21419995564068284,0.02085764406571,0.06096599804759095,0.028546265091594747,0.0017846734931357133,0.005970494157117812,0.06742355839775571,0.08581958706656767,0.013929427304753661,0.04872704420142371,0.06645887129877104,0.03249707005471303,0.013793558709983778,0.1048579580174307,0.0832563379127762,0.0072066312418881395,0.011471186751559892,0.044561020921374817,0.01947997927921641,0.13048359910942497,0.7475142430275872,0.07191703749835932,0.08649445885962903,0.014639242746336323,0.010599858093645054,0.11932854628734346,0.1556774623300592,0.23622139572557876,0.06556138656677879,0.16595939957934314,0.06135571085983971,0.32096961184072526,0.016911069945301005
SBS2,0.02031488535281778,1.0,0.09833746696062695,0.044695717068796936,0.2526433646071905,0.06403592687576776,0.7151594848794646,0.26959034713309027,0.05861209174166049,0.07276099795861746,0.04549004490124098,0.05035304461188417,0.018510790011177725,0.21532907219828212,0.04588460192290855,0.015218551618256138,0.27562431162806045,0.03769774646061064,0.016516056838439375,0.01203672782083598,0.07887453210767437,0.05908601772324884,0.0017892215632557829,0.0014485188971159468,0.06505982802642496,0.22001658342652752,0.030851312510747464,0.010430829188803892,0.0066400708694457355,0.04244871134673367,0.10249566015815781,0.03305213653310368,0.13048002208595644,0.020367891073824418,0.06260920866439645,0.011858766137552768,0.04103102103043743,0.4645448305124551,0.08900721354011276,0.24453216846849912,0.04567081128140382,0.005668344031562467,0.04549838175370213,0.050859251615889334,0.039449376177261075,0.024439105028338348,0.04910106654226165,0.435107864916531,0.2502269680601823,0.27552421664078075,0.0904341006973759,0.07848296637761365,0.0018341205924368165,0.015440863806200356,0.01197312927937566,0.10264419423830529,0.19222200751635055,0.0006730070900460294,0.0011434274660688803,0.2911175905533283,0.09901258664548784,0.006300532432926387,0.030001456411384853,0.0015093707601557815,0.04478983405527681,0.001917497917225508,0.11366696085865957,0.38922610570182803,0.0025747001650585633,0.0034894201106666634,0.04821370771419364,0.10461962937796832,0.07113299178265331,0.04511118545529047,0.0031216871308180627,0.11000540801920033,0.008804409397667579,0.06733635697790441,0.18977484985271664,0.09064729531821802,0.11687980874882886,0.06642877936741398,0.08398868399211701,0.16507552284281113,0.015642719642280922,0.01175319333224878
SBS3,0.053726232585701306,0.09833746696062695,1.0,0.6377747422608543,0.7928402219388434,0.21684566399218297,0.2107350065506024,0.3461294869931232,0.3253453684234937,0.27448997542941367,0.6895992436577179,0.531988184221814,0.12388030078691314,0.10839858457602614,0.3815981510078674,0.1997366253518198,0.3463542439890974,0.47115037641877966,0.2894094080189633,0.3064200281799243,0.20921689107179775,0.4012000642289486,0.2471102225801578,0.11084156978807091,0.4398815079278213,0.3907615030045277,0.4053692710434994,0.29153373933309035,0.32172250544921277,0.3832307700612736,0.38877059136620273,0.47515832125290214,0.7068406881035814,0.4334439596095866,0.19532369472991074,0.14448365218476944,0.45887924065319685,0.3899497620137553,0.5358976431424279,0.4070587485503905,0.2169173415833916,0.1419290519210965,0.6265318102212639,0.3400708241964009,0.5295402046683093,0.3276982064636156,0.7909004822975166,0.7634045920131544,0.7523940254476141,0.8282209216556675,0.48402322088467464,0.5235259769677378,0.26096700322733746,0.46962581073631227,0.3755424640796936,0.5057889487497842,0.2938322416133996,0.032031563619449255,0.14116225445057395,0.427349315791855,0.40887407291472766,0.16680570741902123,0.31369173821972585,0.2742239149447805,0.23294359802401876,0.18987601763096607,0.4229818268479564,0.4388894907329749,0.16677159249626106,0.12266280520423611,0.42983379972415015,0.4025855332936368,0.5165089209321602,0.21518320177606554,0.36109256115325916,0.807197793255837,0.17872607530103246,0.13712693805357712,0.7085285257574045,0.5893108013460325,0.7479378342094157,0.5836667628808894,0.6243444240500583,0.3019558560500848,0.26914588629697866,0.6030814684492692
SBS4,0.023613195682176014,0.044695717068796936,0.6377747422608543,1.0,0.3801632873022638,0.08186118675802712,0.08209711867814706,0.14372095520640882,0.12121403466908198,0.0803652290903879,0.8145197715074984,0.22605203037750043,0.278931690458076,0.07698695704373626,0.4624228856474235,0.39978277159578224,0.11300749164155577,0.11908709048380695,0.10524576870708913,0.559668788049186,0.15913686225233004,0.17141436526725373,0.05137600530630981,0.013250497928764093,0.7339599822226709,0.15199939340757274,0.58171014116774,0.07663625071218061,0.28167576356589097,0.27948868572193264,0.13455179191436817,0.653638532515945,0.5095559114669858,0.1008828812795236,0.1746814315432993,0.021672205155643942,0.7843708992717212,0.14176285161494728,0.33599050873211533,0.20277491003762882,0.06998244529339503,0.0940366422907738,0.674647235701902,0.6494323404611687,0.11936935487840472,0.68664125018305,0.3417089041841116,0.5396058434183801,0.37902733718530635,0.45191560453046,0.1421815370429993,0.40797054333025484,0.08377304534982444,0.3285430090820154,0.8292298220404514,0.20370991371458147,0.25443734709801524,0.12269342988812981,0.3901439760462224,0.39177771091411473,0.3303688784264839,0.381122313221423,0.5069550382335349,0.09505576443605246,0.07356353935879323,0.40267275645246337,0.154373811331724,0.23102708150499562,0.22319583348706484,0.022060889706671638,0.14427694920069667,0.14018113815595434,0.16467859734457213,0.1487192689817276,0.08269692993134192,0.6101341842659941,0.11139961399015741,0.3004838907814493,0.4269450652788469,0.25419769672872905,0.8451248453579333,0.8656325654111875,0.30515109916953786,0.1629352551337404,0.1914499233473701,0.240635059097129
SBS5,0.19426684839568753,0.2526433646071905,0.7928402219388434,0.3801632873022638,1.0,0.41383810178700675,0.3603177367963948,0.4300019748140558,0.25507105403778874,0.33317617270486843,0.4458601459709908,0.575986474114388,0.1386436086653715,0.25958670016091245,0.40576542982745645,0.1894082020093415,0.4719793606391758,0.6712258724311781,0.15790756826803587,0.23840190967798391,0.32145667386324717,0.6496026075775508,0.2052692097381149,0.0988787460284728,0.3565650035378968,0.4534657208506925,0.33940797542702716,0.3606021900449681,0.19749264779648834,0.3494677466204066,0.4589791137560082,0.3878910228377508,0.660863235914682,0.6568997557152932,0.16902200825671454,0.15220785078727395,0.3230421285666323,0.5558297891849461,0.4967505591454139,0.5477073967626126,0.3089315023025425,0.13086613669576674,0.3781652678287519,0.2707148955546862,0.6644088693371183,0.14838204623083906,0.5619627381103888,0.8067714089170588,0.7078479966297512,0.9109132999682444,0.48816282355513496,0.5417271663240459,0.16948328008541969,0.5977961200331655,0.1617680454922632,0.5952990881625528,0.26962852520795444,0.0361426575623367,0.07186163422066605,0.3664159870719812,0.3571239961649262,0.1267690857972652,0.19619746413061967,0.4751278077295109,0.18304159539310882,0.18458525583952734,0.48801298546001426,0.5732262791179698,0.12677786532809554,0.06807798825140465,0.4840069827631419,0.4629816187755501,0.32655317888285085,0.3186341313979417,0.5372942365054031,0.6746328165609246,0.12436651631516404,0.129730657234587,0.8819382479888788,0.5759703898778553,0.5777186376935043,0.4433058324554382,0.65573771445195,0.3313784305133364,0.3500970426927439,0.5230025289644459
SBS6,0.7702115676893556,0.06403592687576776,0.21684566399218297,0.08186118675802712,0.41383810178700675,1.0,0.12528193217560046,0.1776487595629006,0.03319673895510333,0.05836784189549282,0.06939605468616095,0.13435207404826532,0.03313241097837105,0.21506981953791215,0.12901233223668784,0.021716737205194736,0.32153079567814746,0.0476671316825753,0.01313065961636617,0.12124724927176667,0.8608424016272084,0.05225987565241208,0.015343718890435953,0.007865930775095675,0.1649674616178981,0.2993127547655938,0.29812006511457945,0.07535560730940605,0.015723317589126262,0.04648311698303553,0.43469756934387616,0.2679562867309033,0.2849133948325404,0.08647583265476533,0.08347693963205016,0.018065543704845255,0.18474656472670303,0.38234586763194844,0.1702666561867029,0.41507665246930536,0.0572251761186684,0.04079910540633258,0.1237752116598958,0.06565158272508032,0.08460716346473518,0.04844331869066598,0.15240454441605655,0.39884562240558097,0.17228122938897428,0.34676932722639586,0.15465181047318233,0.47858933908619117,0.010293201295672572,0.64115201762406,0.04468493899976511,0.12365890022662462,0.04325921302651503,0.003299665225683479,0.015210270235976875,0.09850346229631635,0.12475396219083601,0.019183742242186996,0.07948958442548248,0.11303076286427272,0.047843614138354695,0.024406302556121195,0.14666703901438405,0.17497446760114543,0.016129489137437836,0.013076068086720904,0.5131204509795352,0.02877520205813111,0.12190139322396787,0.5804225004527832,0.06018518902030212,0.21994824082359843,0.005698302149332424,0.02848743954558841,0.26389656948262274,0.17556625602024567,0.3067919895146848,0.20610807178029544,0.19068044181957866,0.13269734669271616,0.2811834676469891,0.3519172267325844
SBS7a,0.048045083789897025,0.7151594848794646,0.2107350065506024,0.08209711867814706,0.3603177367963948,0.12528193217560046,1.0,0.722831369480725,0.08325341121929752,0.07115184442760936,0.052032514233481764,0.09387459792947828,0.015372692946808764,0.3063034025824303,0.07569525628533769,0.0196124914273047,0.5738409845030888,0.04217049265128581,0.017118086792623388,0.017099793878388114,0.1090947081033733,0.059579899024072125,0.006836190155351973,0.0022449882295104695,0.09882609774444329,0.3633731801084865,0.06924532546086404,0.016107133027198683,0.013071088095488292,0.05304925500547719,0.3295220180018267,0.08507387083829354,0.1635757280436798,0.03113758188924809,0.06781624074067805,0.015014238566975924,0.04326348641550248,0.7230137313914852,0.3081150513023905,0.32627777418749404,0.039011245333521294,0.013963151731741896,0.15993654056724727,0.05820049696012308,0.05022878916839757,0.032314166511263176,0.0829405487006386,0.5749147357023435,0.2596458875397537,0.3738229114968359,0.1003933017354749,0.2421469062964735,0.0037487473948895067,0.05151423756723705,0.014866507952556063,0.142719335268495,0.2054254419237156,0.0010066090044071885,0.0024241035286586277,0.4518716467093131,0.07456918810539137,0.009366299261883926,0.04680149192684535,0.00877354024048016,0.03786410379620109,0.004077848915567284,0.1466326291055079,0.27334526347099963,0.0040850843362582046,0.0054440679384960555,0.1817076431309037,0.07680351143236352,0.08066099405209826,0.0935071472713791,0.01354941656796127,0.16233714107240882,0.009921492019610123,0.05258945139471127,0.2875678929530161,0.1170782952099857,0.2135728975565956,0.11434886255546783,0.08503033179392194,0.27918342580314837,0.03819861379747036,0.08079189995599845
SBS7b,0.06974537373306422,0.26959034713309027,0.3461294869931232,0.14372095520640882,0.4300019748140558,0.1776487595629006,0.722831369480725,1.0,0.08603054696963663,0.1232689370448038,0.09047294898465785,0.14686239571045434,0.02146979563800322,0.30382704893939705,0.11335743269474596,0.032135573149055574,0.7486509048818786,0.06176772468555203,0.014952843725653975,0.027974338084279404,0.11561417187220868,0.08589227855551451,0.022809057830926127,0.005159472585273606,0.11385713384894158,0.6494432031201276,0.10629602337285204,0.03806385637338805,0.026203403667088287,0.06678792058363614,0.6891508489123159,0.12270921454797801,0.20944756251548613,0.05253299788356158,0.07158395099956205,0.01825216372933769,0.05628470054154466,0.7710559581433136,0.7327708428095996,0.4127665145488627,0.03924920995412218,0.033935470460161654,0.3843885872203223,0.06878251274979752,0.08029540492016607,0.038342575225972286,0.12042745620690254,0.5800275138445673,0.23016899782804967,0.48952065147511803,0.11592480591586041,0.3966597459067127,0.015291852583721122,0.09655194609890017,0.023584672054252742,0.17424603199348,0.21353971165601493,0.003521731665351413,0.006471540912999951,0.39679255683141457,0.11623021398280375,0.02198839690229526,0.06949836884085814,0.03014761025430024,0.06060271400955719,0.014779696421495792,0.20687476671169935,0.3567718657862027,0.009609622380002514,0.015817394894420356,0.30073693530278345,0.10161960656515379,0.08193704344373687,0.15920633978805676,0.030291862388276525,0.2179557821922513,0.017429000670410755,0.03610218036424084,0.44690018785589225,0.14274513538154932,0.30014154726498643,0.17058268374397678,0.1078798473336453,0.5162148542427947,0.071219332687248,0.18303639909878988
SBS7c,0.023699201429470684,0.05861209174166049,0.3253453684234937,0.12121403466908198,0.25507105403778874,0.03319673895510333,0.08325341121929752,0.08603054696963663,1.0,0.19784458792815163,0.38759003165676065,0.3538742075949819,0.02883963280309665,0.033796618704261316,0.17612678944194704,0.061925908805075425,0.06657939876898877,0.21936861799878715,0.0425338374077151,0.06343027581150551,0.03188026695524904,0.09367047339170076,0.17943962530052293,0.04179580573321817,0.0993505817633058,0.08292628348096409,0.12487951339329384,0.10534431294864821,0.20130587712891057,0.2869697475433184,0.062373778632363264,0.0722109805442337,0.3073123053043869,0.17641379577574567,0.0554195757743543,0.09529529367960454,0.05579165967143718,0.08315274261386951,0.17511825843914686,0.07429645689446285,0.06868829413138633,0.26155432614391716,0.17594469395233236,0.06348786498351722,0.25721690978747036,0.04238710996603323,0.2034193449136168,0.2994742687400511,0.507027003034465,0.3736158761235253,0.5448586332744655,0.09933895719134567,0.05528241878131823,0.19064404841123883,0.04879861446189815,0.21059549235710817,0.1525645146222827,0.004147130492211049,0.01299234012612771,0.08112258678977813,0.14247951842675577,0.025427642395175698,0.04616045242077205,0.05448470529064697,0.052437776603275976,0.04449237668329997,0.4273967721987598,0.17868754424425248,0.021593036322947956,0.03148177438918576,0.08039939600041635,0.5325877664478648,0.07499934603880964,0.09475525132753182,0.42779086463609417,0.2007611759399217,0.452906549296927,0.021888014267015032,0.19937324342684493,0.42393661922454595,0.2708778679893358,0.11307982761326996,0.4060518734726768,0.07605899383931158,0.09695260498154767,0.148973898979735
SBS7d,0.014577486232467907,0.07276099795861746,0.27448997542941367,0.0803652290903879,0.33317617270486843,0.05836784189549282,0.07115184442760936,0.1232689370448038,0.19784458792815163,1.0,0.15911333137803285,0.2445546897235853,0.025071285166047175,0.08173838888615192,0.17295556826268554,0.05056679316806323,0.12188220247059711,0.43490703060843505,0.015702033710432106,0.06174590018092241,0.06603700279768632,0.14558497572050122,0.12559817116483762,0.0170264435210139,0.08080742845218947,0.12485900156665664,0.08012810175716545,0.5019341877232614,0.04737735053255043,0.11675888748621344,0.0883337456354305,0.07696244102521965,0.2583773550297809,0.3965468182780354,0.04145083109163672,0.019140863774964267,0.05190180768988062,0.10176789259673669,0.10348318352946506,0.18994740276928623,0.11131281445110064,0.1303051728874326,0.052092228603369595,0.059812345928617505,0.4342423507085331,0.058463268587338635,0.16188399992731606,0.2502877571546258,0.25168871779186264,0.30729571734612793,0.2674733618869758,0.130754786542,0.039756659772120395,0.18880418526323817,0.049860101401898005,0.45122368716914185,0.1453253358661324,0.006570806586200573,0.020180765692836222,0.1012259183951395,0.11192460089410294,0.05071891194338907,0.08394822322897166,0.08205109759273288,0.0841016162868462,0.038196611533347746,0.2078176124437443,0.19293001621130212,0.016628510155739518,0.018393832602104032,0.15181199870827145,0.46047833963214546,0.07904630063164275,0.080363337450709,0.23370915587234808,0.16648512725787623,0.09239700989165367,0.0355139175275202,0.29422353205362206,0.27922819440367097,0.22937800000446007,0.0972832489855977,0.1851479629172763,0.1260304679277494,0.09807606045956574,0.1552006071467369
